0,1,2,3,4,5
international business times,katerina nikolopoulou,greek pm vows for a restart after criticism for natural disasters' handling,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""climate war""",2023-09-17T12:15:39Z,"faced with criticism for his alleged poor handling of the fires and floods that struck greece this summer, prime minister kyriakos mitsotakis pledged fresh funding and reforms in order to fight the ""… [+3406 chars]"
cnn,NA,"invasive species cost the world $423 billion every year and are causing environmental chaos, un report finds","invasive species cost the world at least $423 billion every year as they drive plant and animal extinctions, threaten food security and exacerbate",2023-09-05T06:26:17Z,"invasive species cost the world at least $423 billion every year as they drive plant and animal extinctions, threaten food security and exacerbate environmental catastrophes across the globe, a major… [+5723 chars]"
yahoo entertainment,audrey mcavoy,"the number of people missing following devastating maui wildfires has dropped to 66, governor says","one month after the deadliest us wildfire in more than a century leveled the historic town of lahaina, hawaii gov josh green said friday that the number",2023-09-08T22:14:21Z,"honolulu (ap) one month after the deadliest us wildfire in more than a century leveled the historic town of lahaina, hawaii gov josh green said friday that the number of missing has dropped to 66,… [+4727 chars]"
cbc news,david p ball,"canadian army needs dedicated climate disaster force, says former top soldier","this summer has seen the canadian armed forces deployed to multiple natural disasters at the request of provinces, which are ultimately responsible for emergency management and natural disasters",2023-09-04T08:00:00Z,"the country's former top soldier says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide retired lt gen andrew leslie, who commanded ca… [+6413 chars]"
yahoo entertainment,reuters,"factbox-us government shutdown: what closes, what stays open?","the two million us military personnel would remain at their posts, but roughly half of the pentagon's 800,000 civilian employees would be furloughed",2023-09-21T18:23:46Z,(reuters) - many us government services would be disrupted and hundreds of thousands of federal workers furloughed without pay if congress fails to provide funding for the fiscal year starting oct… [+6541 chars]
ladbible,dominic smithers,scientists warn silent killer 'super gonorrhoea' is on the rise,experts have warned that 'super gonorrhoea' is spreading like wildfire,2023-09-04T20:01:45Z,"when you think of the word 'super', you mind usually conjures something really, really good take 'superglue' and 'super strength drain unblocker' or even superman i think everyone would agree that… [+2691 chars]"
new york post,steven nelson,biden says his delaware home ‘almost collapsed from small kitchen fire nearly 20 years ago while discussing maui wildfire crisis,"president biden said wednesday while discussing wildfire devastation in maui that his delaware house ""almost collapsed"" from a small kitchen fire nearly two decades ago",2023-08-30T22:41:30Z,washington president biden said wednesday while discussing wildfire devastation in maui that his delaware house “almost collapsed” from a small kitchen fire nearly two decades ago after telling survi… [+6279 chars]
new york post,steven nelson,biden claims he was at ground zero day after 9/11 — but his own book puts him in dc,"“ground zero in new york — i remember standing there the next day and looking at the building and i felt like i was looking through the gates of hell,” biden told us troops in alaska…",2023-09-11T23:19:37Z,washington president biden said monday that he was at the world trade center site in new york city one day after the 9/11 attacks despite his own autobiography placing him in dc the 80-year-old pre… [+5870 chars]
marketscreenercom,publicnow,entergy : wildfire risk management,"(marketscreenercom) dry conditions, extreme heat combine to create wildfire hazards while drought conditions and wildfires have not been common in most areas across entergy's service territory, recent record-breaking high temperatures and ongoing se…",2023-09-15T17:25:02Z,"dry conditions, extreme heat combine to create wildfire hazards while drought conditions and wildfires have not been common in most areas across entergy's service territory, recent record-breaking h… [+9490 chars]"
thenationcom,christopher blackwell,wildfires are a dire threat to incarcerated people like me,"christopher blackwell if we get caught in the path of raging flames, what will be the plan for those of us locked behind bars? the post wildfires are a dire threat to incarcerated people like me appeared first on the nation",2023-08-28T09:00:00Z,"environment / august 28, 2023 if we get caught in the path of raging flames, what will be the plan for those of us locked behind bars? ad policy flames move through vegetation as fire crews battl… [+6222 chars]"
globenewswire,alcherax inc,alchera x partners with national forest foundation (nff) in their commitment to plant thousands of trees,"new york, sept 07, 2023 (globe newswire) -- alchera x, a global leader in ai saas specializing in wildfire detection and protection through firescout, is pleased to announce that in a significant step toward ensuring the health of national forests, the compa…",2023-09-07T19:15:00Z,"new york, sept 07, 2023 (globe newswire) -- alchera x, a global leader in ai saas specializing in wildfire detection and protection through firescout, is pleased to announce that in a significant st… [+3934 chars]"
globenewswire,alcherax inc,"ax hosts korean delegation, strengthening global wildfire management & disaster response","sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south korea for the second time this year building upon south kore…",2023-09-21T21:00:00Z,"sonoma county, calif, sept 21, 2023 (globe newswire) -- ax is pleased to announce that, in collaboration with sonoma county and the redcom center, the company has welcomed a delegation from south k… [+4025 chars]"
investingcom,reuters,greece wildfire destroys area bigger than new york city,greece wildfire destroys area bigger than new york city,2023-08-29T18:33:17Z,"by stamos prousalis and karolina tagaris evros, greece/athens (reuters) - a wildfire burning in northeastern greece for 11 days has destroyed an area larger than new york city, the european union-b… [+3719 chars]"
cbc news,david p ball,"canadian army needs dedicated climate disaster force, says former lieutenant-general",a former army commander says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide,2023-09-04T08:00:00Z,a former army commander says canada is behind its allies in not having a dedicated agency that can deploy personnel to disasters nationwide retired lt-gen andrew leslie told cbc news the lack of … [+6373 chars]
marketscreenercom,reuters,us appeals court questions delay in pg&e shareholder case,"(marketscreenercom) us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&e corp officers and directors on wednesday, suggesting they could allow the case over statements about the utility's wildfire prevention measures …",2023-09-13T19:12:04Z,"(reuters) - us appeals court judges questioned a 2-1/2-year pause in a shareholder lawsuit against pg&amp;e corp officers and directors on wednesday, suggesting they could allow the case over state… [+1838 chars]"
marketscreenercom,reuters,greece wildfire destroys area bigger than new york city,"(marketscreenercom) a wildfire burning in northeastern greece for 11 days has destroyed an area larger than new york city, the european union-backed copernicus climate change service said on tuesday, as firefighters from five countries battled to contain the…",2023-08-29T18:04:59Z,"evros, greece/athens (reuters) - a wildfire burning in northeastern greece for 11 days has destroyed an area larger than new york city, the european union-backed copernicus climate change service sai… [+3719 chars]"
prnewswire,,"hawaiian electric investor deadline approaching: securities litigation partner james (josh) wilson encourages investors who suffered losses exceeding $100,000 in hawaiian electric to contact him directly to discuss their options","new york, sept 23, 2023 /prnewswire/ --faruqi & faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) and reminds investors of the o…",2023-09-23T15:00:00Z,"new york, sept 23, 2023 /prnewswire/ --faruqi &amp; faruqi, llp, a leading national securities law firm, is investigating potential claims against hawaiian electric industries, inc (""hawaiian elect… [+5140 chars]"
screen rant,joe deckelmeier,peter facinelli talks about directing on fire & collaborating with his cast,"on fire director and star peter facinelli discusses collaborating with co-director nick lyon, what drew him to the script, and the filming process",2023-09-22T19:22:22Z,"summary <ul><li> on fire is a family survival film that focuses on one family's journey through a wildfire crisis, highlighting their strength, faith, and love </li><li> the movie is based on real … [+12970 chars]"
the times of india,afp,climate change boosts risk of extreme wildfires 25%: study,"a californian study published in the journal nature reveals that human-caused climate change has heightened the risk of fast-spreading wildfires researchers at the breakthrough institute used machine learning to analyze blazes from 2003 to 2020, finding that…",2023-08-30T19:20:46Z,"paris: climate change has sharply boosted the risk of fast-spreading wildfires, according to a californian study published wednesday that offers lessons for prevention after recent disasters in canad… [+3939 chars]"
investingcom,reuters,analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',analysis-novel lahaina wildfire lawsuit asks 'when is wild grass inherently dangerous?',2023-09-20T10:17:13Z,"by tom hals wilmington, delaware (reuters) - the father of a woman who died in the hawaii wildfires last month has launched a novel lawsuit against three major landowners, seeking to hold them respo… [+5726 chars]"
legalinsurrectioncom,leslie eastman,authorities arrest 79 suspected arsonists for igniting wildfires in greece,"greek minister of climate crisis and civil protection vassilis kikilias: ""arsonist scum are setting fires that threaten forests, property and, most of all, human lives"" the post authorities arrest 79 suspected arsonists for igniting wildfires in greece first…",2023-08-28T15:00:33Z,"as disaster response crews, cadaver dogs, and coroners continue to dig through the incinerated rubble of western maui, attention is now turning to the massive wildfires burning in greece that have al… [+5014 chars]"
prnewswire,,"shareholder alert: levi & korsinsky notifies hawaiian electric industries, inc(he) investors of a class action lawsuit and upcoming deadline","new york, aug 31, 2023 /prnewswire/ -- levi & korsinsky, llp notifies investors in hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) of a class action securities lawsuit class definition: the lawsuit seeks to recover losse…",2023-08-31T09:45:00Z,"new york, aug 31, 2023 /prnewswire/ -- levi &amp; korsinsky, llp notifies investors in hawaiian electric industries, inc (""hawaiian electric"" or the ""company"") (nyse: he) of a class action securiti… [+2289 chars]"
